page_count,file_size_kb,word_count,ocr_confidence,upload_hour,category,priority
1,245,38,0.913,0,receipt,low
1,165,18,0.874,16,prescription,medium
2,978,239,0.778,23,form,medium
2,364,242,0.99,4,form,medium
1,317,144,0.616,9,form,high
1,434,21,0.792,7,id_card,low
1,239,40,0.875,1,prescription,medium
1,345,18,0.725,10,id_card,low
1,366,50,0.99,20,prescription,medium
1,341,50,0.99,3,prescription,medium
1,301,115,0.913,22,receipt,low
1,417,4,0.99,2,generic_photo,low
2,422,422,0.797,19,invoice,low
2,672,546,0.897,19,invoice,low
1,293,35,0.835,20,id_card,low
1,174,26,0.677,20,prescription,high
3,990,258,0.882,9,invoice,low
1,372,58,0.99,14,receipt,low
1,402,153,0.899,5,form,medium
1,317,12,0.793,4,generic_photo,low
1,285,18,0.878,15,generic_photo,low
1,491,79,0.764,11,prescription,medium
1,240,6,0.824,9,generic_photo,low
1,188,38,0.66,17,receipt,medium
2,594,137,0.799,7,form,medium
1,150,53,0.717,16,prescription,high
4,1064,566,0.941,5,invoice,low
1,322,63,0.858,10,receipt,low
1,376,243,0.968,18,form,medium
1,196,225,0.99,0,form,medium
1,408,68,0.965,15,prescription,medium
3,1437,161,0.99,7,invoice,low
1,313,111,0.753,7,receipt,low
1,327,79,0.754,3,receipt,low
1,294,31,0.689,8,id_card,medium
1,369,361,0.772,2,invoice,low
1,231,20,0.802,18,prescription,medium
1,159,61,0.99,14,prescription,medium
3,1293,490,0.794,21,invoice,low
1,326,36,0.836,2,id_card,low
1,155,460,0.99,16,invoice,low
1,408,19,0.99,4,prescription,medium
1,232,93,0.887,16,receipt,low
1,200,15,0.745,0,prescription,high
4,732,437,0.769,7,invoice,low
1,267,53,0.788,0,receipt,low
1,371,11,0.957,16,generic_photo,low
1,215,28,0.874,17,prescription,medium
1,435,101,0.856,14,receipt,low
1,457,28,0.606,14,id_card,medium
2,400,185,0.99,16,form,medium
1,287,43,0.848,19,prescription,medium
1,411,48,0.946,20,prescription,medium
1,275,96,0.693,18,receipt,medium
3,1455,332,0.93,10,invoice,low
1,157,15,0.917,2,generic_photo,low
1,242,36,0.741,17,id_card,low
1,426,65,0.786,21,prescription,medium
1,282,15,0.755,8,prescription,medium
2,366,125,0.805,8,form,medium
1,270,66,0.752,21,receipt,low
1,468,10,0.871,14,generic_photo,low
1,177,13,0.854,22,generic_photo,low
1,303,1,0.919,13,generic_photo,low
1,423,24,0.887,5,id_card,low
1,164,28,0.885,9,id_card,low
1,235,380,0.791,11,invoice,low
1,361,162,0.589,8,invoice,medium
1,260,32,0.803,3,prescription,medium
1,260,1,0.797,18,generic_photo,low
1,250,60,0.99,5,receipt,low
2,750,143,0.849,5,form,medium
1,299,47,0.653,20,prescription,high
1,261,5,0.804,23,generic_photo,low
3,1176,536,0.8,7,invoice,low
1,372,50,0.871,10,prescription,medium
1,267,213,0.959,16,form,medium
1,211,5,0.862,7,generic_photo,low
1,322,70,0.94,11,receipt,low
1,267,40,0.741,19,prescription,high
4,600,196,0.927,13,invoice,low
1,288,4,0.826,2,generic_photo,low
2,318,327,0.907,4,invoice,low
1,162,63,0.78,4,receipt,low
1,187,414,0.881,22,invoice,low
1,244,39,0.87,11,id_card,low
1,150,12,0.861,7,id_card,low
1,416,7,0.779,2,generic_photo,low
1,154,51,0.921,18,prescription,medium
1,211,23,0.955,17,id_card,low
1,274,18,0.811,5,generic_photo,low
3,876,212,0.627,14,invoice,medium
1,458,97,0.97,7,receipt,low
1,347,16,0.87,7,id_card,low
1,164,83,0.918,14,receipt,low
1,380,47,0.949,22,prescription,medium
2,470,345,0.971,1,invoice,low
1,272,24,0.801,12,receipt,low
1,333,295,0.881,14,form,medium
1,410,22,0.541,12,prescription,high
1,244,46,0.804,18,receipt,low
1,441,13,0.936,19,id_card,low
1,479,39,0.99,7,id_card,low
1,349,5,0.648,10,generic_photo,medium
2,506,220,0.777,17,form,medium
1,253,260,0.99,23,invoice,low
1,200,45,0.921,13,prescription,medium
2,812,416,0.99,20,invoice,low
1,351,286,0.913,19,invoice,low
1,440,303,0.952,10,invoice,low
1,359,1,0.572,1,generic_photo,medium
1,277,26,0.819,18,id_card,low
1,329,6,0.67,5,generic_photo,medium
1,326,47,0.764,17,prescription,medium
1,486,63,0.959,19,prescription,medium
1,267,297,0.863,7,invoice,low
3,1119,406,0.986,12,invoice,low
1,360,18,0.796,16,generic_photo,low
1,293,44,0.595,7,prescription,high
1,406,27,0.819,1,id_card,low
1,263,16,0.99,5,generic_photo,low
1,413,13,0.681,13,id_card,medium
1,236,116,0.757,22,receipt,low
2,996,257,0.99,2,form,medium
1,477,38,0.589,21,id_card,medium
3,648,378,0.867,7,invoice,low
1,245,54,0.967,23,receipt,low
1,314,13,0.817,22,generic_photo,low
1,479,26,0.723,6,receipt,low
3,888,234,0.99,0,invoice,low
1,160,34,0.965,9,prescription,medium
1,268,86,0.941,5,receipt,low
1,375,8,0.68,20,generic_photo,medium
1,429,165,0.87,13,form,medium
2,716,264,0.733,13,invoice,low
4,1544,599,0.687,21,invoice,medium
1,153,23,0.794,12,id_card,low
1,442,106,0.874,5,receipt,low
1,314,36,0.733,5,receipt,low
1,236,95,0.742,7,receipt,low
1,386,31,0.741,20,receipt,low
1,339,64,0.775,21,receipt,low
1,456,10,0.853,20,id_card,low
1,178,105,0.667,3,form,high
3,1143,444,0.754,2,invoice,low
1,204,1,0.909,4,generic_photo,low
2,776,185,0.872,19,invoice,low
1,393,12,0.849,12,id_card,low
1,350,11,0.771,1,id_card,low
1,166,54,0.99,7,prescription,medium
1,188,44,0.765,2,receipt,low
1,378,27,0.968,16,id_card,low
1,479,31,0.779,22,prescription,medium
3,1401,161,0.99,4,invoice,low
1,347,15,0.933,7,generic_photo,low
2,834,238,0.902,22,invoice,low
1,235,104,0.875,6,receipt,low
1,266,14,0.752,7,generic_photo,low
1,364,78,0.924,17,receipt,low
1,252,19,0.862,2,generic_photo,low
2,494,124,0.795,2,form,medium
1,332,57,0.99,23,prescription,medium
4,1436,498,0.621,0,invoice,medium
1,257,56,0.86,2,prescription,medium
1,451,16,0.978,19,id_card,low
1,467,76,0.99,23,prescription,medium
1,415,200,0.806,6,form,medium
1,326,144,0.814,17,form,medium
2,884,269,0.753,15,form,medium
1,454,222,0.736,4,invoice,low
1,347,57,0.817,6,prescription,medium
1,211,10,0.715,19,generic_photo,low
1,297,151,0.896,21,form,medium
1,367,71,0.906,21,prescription,medium
1,169,248,0.911,16,invoice,low
1,327,49,0.87,2,prescription,medium
1,418,15,0.85,23,id_card,low
1,247,28,0.581,8,prescription,high
1,375,34,0.745,11,id_card,low
1,189,28,0.865,1,receipt,low
1,477,117,0.878,4,form,medium
1,186,37,0.933,4,receipt,low
1,450,54,0.723,18,prescription,high
1,205,86,0.915,12,receipt,low
1,411,47,0.99,23,prescription,medium
1,317,25,0.773,15,id_card,low
1,194,512,0.793,20,invoice,low
1,340,119,0.739,4,receipt,low
1,463,22,0.921,18,id_card,low
1,309,29,0.99,17,receipt,low
2,452,285,0.752,11,form,medium
1,162,115,0.873,16,receipt,low
1,493,79,0.856,12,receipt,low
1,475,25,0.99,14,id_card,low
1,427,4,0.822,3,generic_photo,low
2,736,147,0.909,16,form,medium
1,171,84,0.778,23,receipt,low
1,455,27,0.99,19,id_card,low
1,178,21,0.761,10,prescription,medium
2,456,516,0.782,22,invoice,low
1,375,117,0.938,3,receipt,low
3,564,546,0.99,10,invoice,low
2,648,209,0.863,13,form,medium
2,352,282,0.628,5,form,high
1,312,80,0.782,16,receipt,low
4,1692,161,0.84,7,invoice,low
2,588,296,0.984,20,form,medium
1,199,23,0.927,11,id_card,low
1,465,38,0.99,2,prescription,medium
2,604,94,0.679,8,form,high
1,468,15,0.923,21,generic_photo,low
1,493,1,0.886,16,generic_photo,low
1,469,32,0.845,17,prescription,medium
1,244,14,0.958,0,generic_photo,low
2,832,248,0.99,21,form,medium
1,190,33,0.85,21,id_card,low
2,702,240,0.711,7,form,high
1,151,116,0.973,0,receipt,low
1,252,40,0.861,1,prescription,medium
1,239,6,0.969,1,generic_photo,low
1,454,63,0.925,7,receipt,low
1,272,38,0.857,17,id_card,low
2,654,151,0.772,19,form,medium
1,400,14,0.99,15,generic_photo,low
2,342,137,0.825,2,form,medium
4,652,511,0.772,12,invoice,low
1,296,35,0.792,22,id_card,low
1,322,3,0.913,22,generic_photo,low
1,231,21,0.781,5,id_card,low
1,299,102,0.911,2,receipt,low
2,484,114,0.61,21,form,high
3,1362,481,0.898,23,invoice,low
1,369,83,0.928,11,form,medium
1,301,19,0.964,8,generic_photo,low
2,754,196,0.99,1,form,medium
1,411,55,0.743,2,receipt,low
1,189,32,0.686,20,prescription,high
3,471,431,0.99,9,invoice,low
2,302,157,0.665,22,form,high
1,190,52,0.915,14,prescription,medium
1,233,6,0.806,1,generic_photo,low
1,494,16,0.695,7,generic_photo,medium
2,900,243,0.989,22,form,medium
1,344,19,0.62,9,id_card,medium
2,812,184,0.771,4,form,medium
2,300,250,0.761,10,form,medium
1,353,61,0.693,4,prescription,high
1,193,269,0.981,5,invoice,low
1,483,268,0.831,1,form,medium
3,507,442,0.868,2,invoice,low
1,394,4,0.793,4,generic_photo,low
1,355,328,0.744,17,invoice,low
1,275,20,0.99,1,id_card,low
2,668,434,0.665,10,invoice,medium
1,443,42,0.91,19,receipt,low
1,457,12,0.737,22,generic_photo,low
1,278,104,0.927,22,receipt,low
1,235,19,0.947,22,prescription,medium
1,263,62,0.704,17,receipt,low
2,904,285,0.796,7,invoice,low
2,300,438,0.858,18,invoice,low
1,218,15,0.628,1,generic_photo,medium
1,212,83,0.963,8,receipt,low
1,325,238,0.81,8,invoice,low
1,247,13,0.875,5,id_card,low
1,251,3,0.958,12,generic_photo,low
3,1440,488,0.833,0,invoice,low
1,238,6,0.983,6,generic_photo,low
1,465,33,0.675,0,prescription,high
4,1004,440,0.87,13,invoice,low
1,414,9,0.766,2,generic_photo,low
1,477,40,0.55,20,prescription,high
1,302,40,0.99,11,prescription,medium
1,442,62,0.832,10,prescription,medium
1,170,13,0.654,22,generic_photo,medium
1,485,32,0.941,3,id_card,low
1,420,28,0.884,3,id_card,low
1,424,27,0.846,15,prescription,medium
1,176,66,0.736,14,prescription,high
1,293,215,0.881,1,form,medium
1,239,281,0.792,10,invoice,low
2,616,118,0.778,9,form,medium
1,185,56,0.888,19,prescription,medium
2,918,86,0.781,9,form,medium
1,267,22,0.858,20,id_card,low
1,175,8,0.91,9,generic_photo,low
2,884,496,0.694,3,invoice,medium
1,168,43,0.902,17,receipt,low
1,391,13,0.957,4,id_card,low
3,1125,257,0.99,21,invoice,low
1,309,29,0.623,10,prescription,high
1,227,92,0.784,1,receipt,low
1,234,16,0.87,17,id_card,low
1,274,19,0.967,6,id_card,low
2,434,98,0.982,5,form,medium
1,316,51,0.76,4,receipt,low
4,888,536,0.954,7,invoice,low
3,1035,219,0.99,4,invoice,low
1,298,239,0.824,7,form,medium
1,199,7,0.719,2,generic_photo,low
1,279,5,0.938,22,generic_photo,low
2,716,181,0.849,19,form,medium
1,185,11,0.864,4,generic_photo,low
1,452,45,0.87,22,prescription,medium
1,285,223,0.68,19,form,high
1,179,25,0.786,7,id_card,low
1,397,4,0.681,11,generic_photo,medium
1,298,435,0.822,7,invoice,low
1,187,421,0.802,19,invoice,low
1,441,33,0.722,1,receipt,low
1,398,407,0.743,8,invoice,low
3,987,472,0.873,17,invoice,low
1,292,2,0.838,21,generic_photo,low
1,388,91,0.956,12,form,medium
1,365,39,0.575,9,id_card,medium
1,283,13,0.807,13,generic_photo,low
3,936,554,0.796,1,invoice,low
1,355,11,0.856,1,id_card,low
1,438,459,0.87,3,invoice,low
1,259,0,0.884,5,generic_photo,low
1,174,266,0.836,14,invoice,low
1,161,267,0.842,12,form,medium
1,295,19,0.908,5,generic_photo,low
1,403,57,0.651,18,prescription,high
1,415,48,0.99,1,prescription,medium
1,327,10,0.868,8,generic_photo,low
1,248,18,0.81,20,id_card,low
4,1648,339,0.803,3,invoice,low
1,422,119,0.87,4,form,medium
2,546,131,0.906,4,form,medium
1,405,141,0.938,2,form,medium
1,163,37,0.801,4,id_card,low
1,211,1,0.711,20,generic_photo,low
1,228,5,0.99,23,generic_photo,low
1,162,79,0.945,20,prescription,medium
1,330,104,0.731,10,receipt,low
1,405,66,0.846,22,prescription,medium
1,345,40,0.803,17,prescription,medium
1,370,18,0.916,19,id_card,low
1,191,52,0.884,8,prescription,medium
4,1112,542,0.875,1,invoice,low
2,492,108,0.839,10,form,medium
1,363,27,0.961,7,receipt,low
3,1476,550,0.707,11,invoice,low
3,471,250,0.858,12,invoice,low
3,774,192,0.835,16,invoice,low
1,426,34,0.861,7,prescription,medium
1,377,50,0.99,6,receipt,low
1,200,37,0.771,10,id_card,low
1,410,24,0.99,9,receipt,low
1,369,14,0.936,16,generic_photo,low
1,198,599,0.747,8,invoice,low
1,268,527,0.744,17,invoice,low
1,313,40,0.99,15,receipt,low
2,318,90,0.99,14,form,medium
4,1328,551,0.821,13,invoice,low
2,526,296,0.757,21,form,medium
2,724,291,0.844,16,form,medium
1,371,46,0.99,22,prescription,medium
4,668,382,0.701,7,invoice,low
1,387,7,0.923,6,generic_photo,low
2,810,282,0.889,21,form,medium
1,407,92,0.854,20,form,medium
1,244,129,0.706,11,form,high
1,320,36,0.845,4,prescription,medium
1,152,70,0.918,6,prescription,medium
1,277,104,0.639,4,form,high
1,293,77,0.922,2,receipt,low
4,1492,253,0.942,9,invoice,low
1,159,108,0.941,1,receipt,low
4,940,162,0.92,9,invoice,low
1,203,77,0.949,19,receipt,low
1,392,25,0.946,22,id_card,low
1,250,18,0.815,3,generic_photo,low
2,752,103,0.737,4,form,high
1,351,7,0.667,12,generic_photo,medium
1,220,198,0.99,3,form,medium
1,152,28,0.865,22,prescription,medium
2,806,199,0.767,23,form,medium
1,231,49,0.813,18,receipt,low
3,1080,515,0.858,21,invoice,low
1,463,44,0.964,18,prescription,medium
1,262,69,0.932,22,prescription,medium
2,530,468,0.943,21,invoice,low
1,347,47,0.956,3,prescription,medium
2,694,126,0.886,9,form,medium
1,256,22,0.685,16,receipt,medium
1,347,12,0.622,20,generic_photo,medium
1,184,19,0.87,13,id_card,low
1,498,88,0.682,20,receipt,medium
1,410,83,0.513,3,receipt,medium
1,275,3,0.847,0,generic_photo,low
4,1784,475,0.99,21,invoice,low
1,337,11,0.937,3,generic_photo,low
1,255,44,0.829,21,prescription,medium
1,369,242,0.722,12,form,high
1,478,11,0.618,12,generic_photo,medium
2,466,186,0.976,20,form,medium
2,312,240,0.99,5,form,medium
1,397,51,0.722,15,receipt,low
1,303,56,0.867,11,prescription,medium
1,463,4,0.749,16,generic_photo,low
1,494,28,0.923,20,id_card,low
1,310,268,0.799,9,form,medium
3,1314,235,0.785,16,invoice,low
1,177,75,0.815,21,prescription,medium
1,347,247,0.868,1,invoice,low
2,308,490,0.796,15,invoice,low
1,316,38,0.99,21,id_card,low
2,886,247,0.828,18,form,medium
4,1704,181,0.99,19,invoice,low
1,363,87,0.733,13,receipt,low
1,317,38,0.905,16,id_card,low
1,397,44,0.956,0,receipt,low
1,411,118,0.841,6,receipt,low
1,327,168,0.835,10,form,medium
2,892,87,0.745,3,form,high
1,196,69,0.519,5,prescription,high
2,970,86,0.978,2,form,medium
1,432,17,0.81,7,prescription,medium
1,325,46,0.802,10,prescription,medium
1,395,18,0.747,0,prescription,high
1,307,35,0.987,12,prescription,medium
1,251,23,0.897,2,receipt,low
4,1212,430,0.757,4,invoice,low
1,414,38,0.87,18,id_card,low
2,724,200,0.99,23,form,medium
1,280,105,0.858,15,receipt,low
1,397,42,0.975,0,prescription,medium
1,329,49,0.88,17,prescription,medium
1,428,94,0.901,15,receipt,low
1,474,16,0.902,2,generic_photo,low
4,1684,530,0.896,1,invoice,low
1,397,118,0.802,7,receipt,low
1,452,13,0.913,5,id_card,low
1,266,71,0.99,3,prescription,medium
1,401,118,0.788,12,form,medium
1,283,116,0.931,1,receipt,low
1,291,5,0.99,3,generic_photo,low
1,184,76,0.99,19,prescription,medium
1,493,573,0.805,13,invoice,low
1,299,106,0.798,18,receipt,low
1,424,19,0.94,8,id_card,low
2,952,252,0.97,22,form,medium
4,1076,424,0.99,5,invoice,low
1,313,75,0.823,0,prescription,medium
1,352,221,0.808,20,form,medium
1,483,18,0.964,8,id_card,low
1,307,76,0.99,11,prescription,medium
1,213,20,0.892,20,id_card,low
1,425,62,0.99,4,prescription,medium
1,350,21,0.882,16,id_card,low
1,214,107,0.927,7,receipt,low
1,481,61,0.841,14,prescription,medium
3,1371,175,0.955,21,invoice,low
1,187,65,0.99,3,prescription,medium
2,450,83,0.939,12,form,medium
1,343,31,0.825,8,id_card,low
4,1644,236,0.64,21,invoice,medium
2,420,550,0.777,7,invoice,low
1,242,37,0.846,12,id_card,low
3,873,573,0.669,23,invoice,medium
1,198,338,0.941,13,invoice,low
2,384,285,0.792,6,invoice,low
1,341,63,0.943,9,prescription,medium
1,382,31,0.757,8,id_card,low
4,1824,426,0.827,6,invoice,low
3,1023,546,0.802,0,invoice,low
1,221,155,0.772,7,form,medium
1,389,26,0.976,4,prescription,medium
3,1476,323,0.733,12,invoice,low
3,1461,489,0.948,0,invoice,low
2,776,226,0.705,7,form,high
1,392,155,0.911,8,form,medium
1,456,85,0.83,10,receipt,low
1,359,24,0.814,5,prescription,medium
1,151,30,0.812,5,id_card,low
1,499,25,0.646,0,id_card,medium
1,198,76,0.773,22,prescription,medium
2,852,433,0.772,2,invoice,low
1,271,67,0.99,11,prescription,medium
1,344,51,0.632,15,receipt,medium
1,267,76,0.767,3,receipt,low
1,316,231,0.698,6,form,high
1,470,135,0.855,0,form,medium
1,351,236,0.99,10,form,medium
1,454,39,0.99,16,id_card,low
1,325,4,0.99,12,generic_photo,low
1,493,88,0.795,2,receipt,low
1,409,22,0.836,10,id_card,low
1,200,19,0.831,17,id_card,low
1,394,14,0.917,4,generic_photo,low
1,236,54,0.815,5,receipt,low
2,868,280,0.665,15,form,high
1,218,3,0.672,4,generic_photo,medium
1,311,546,0.788,22,invoice,low
1,191,12,0.769,1,id_card,low
1,399,65,0.83,11,prescription,medium
1,288,58,0.793,6,prescription,medium
1,241,208,0.889,3,form,medium
1,422,38,0.807,2,id_card,low
2,726,183,0.99,4,form,medium
1,433,22,0.985,4,prescription,medium
1,296,313,0.881,1,invoice,low
1,322,31,0.728,14,id_card,low
2,790,228,0.807,16,form,medium
1,161,125,0.884,5,form,medium
3,909,296,0.848,5,invoice,low
1,251,119,0.897,10,receipt,low
2,704,365,0.823,16,invoice,low
1,368,30,0.931,17,id_card,low
1,388,254,0.917,15,form,medium
4,1944,265,0.861,16,invoice,low
1,477,501,0.921,13,invoice,low
1,357,45,0.497,17,prescription,high
1,472,10,0.757,20,generic_photo,low
2,602,248,0.899,2,form,medium
1,312,14,0.786,6,generic_photo,low
1,441,10,0.953,4,id_card,low
3,870,186,0.946,8,invoice,low
4,1372,184,0.941,7,invoice,low
2,818,579,0.769,2,invoice,low
1,337,23,0.833,12,id_card,low
1,194,48,0.854,15,prescription,medium
1,294,59,0.923,22,receipt,low
1,337,35,0.904,23,receipt,low
2,728,118,0.759,13,form,medium
1,202,6,0.871,20,generic_photo,low
1,202,35,0.99,18,prescription,medium
1,180,363,0.851,9,invoice,low
1,203,119,0.97,19,receipt,low
2,326,193,0.662,20,form,high
1,354,3,0.824,22,generic_photo,low
1,268,31,0.917,8,receipt,low
1,390,158,0.947,17,form,medium
1,358,5,0.747,10,generic_photo,low
1,296,256,0.985,8,invoice,low
1,249,11,0.624,23,id_card,medium
1,335,244,0.707,22,form,high
1,465,48,0.99,9,receipt,low
1,384,35,0.961,12,prescription,medium
1,173,47,0.723,20,prescription,high
1,289,290,0.977,4,form,medium
1,250,36,0.559,8,receipt,medium
1,295,24,0.846,13,id_card,low
1,162,21,0.99,1,id_card,low
1,459,315,0.812,23,invoice,low
1,249,0,0.967,1,generic_photo,low
4,1648,413,0.99,3,invoice,low
1,177,22,0.809,0,receipt,low
1,462,92,0.99,16,form,medium
1,202,9,0.939,13,generic_photo,low
1,251,51,0.788,23,prescription,medium
1,486,105,0.823,2,receipt,low
1,417,16,0.731,21,generic_photo,low
2,640,108,0.99,22,form,medium
2,506,254,0.784,11,form,medium
1,330,31,0.827,8,id_card,low
1,283,56,0.767,6,receipt,low
1,182,39,0.748,11,prescription,high
1,284,30,0.938,3,id_card,low
1,309,18,0.871,23,id_card,low
1,281,73,0.879,7,prescription,medium
1,306,38,0.838,14,id_card,low
1,367,251,0.653,3,form,high
1,268,28,0.914,21,receipt,low
1,239,208,0.856,11,invoice,low
1,175,76,0.795,18,receipt,low
1,330,22,0.954,7,id_card,low
1,470,174,0.927,23,form,medium
1,308,14,0.822,8,generic_photo,low
1,431,17,0.75,21,generic_photo,low
2,750,571,0.99,14,invoice,low
1,195,35,0.827,21,prescription,medium
1,227,17,0.807,9,generic_photo,low
1,372,12,0.679,10,generic_photo,medium
1,389,288,0.818,10,form,medium
1,160,64,0.99,8,prescription,medium
1,333,127,0.718,11,form,high
1,238,14,0.751,16,id_card,low
1,394,20,0.99,15,id_card,low
1,396,53,0.976,3,receipt,low
1,188,0,0.812,16,generic_photo,low
1,237,29,0.917,11,id_card,low
1,185,223,0.9,4,invoice,low
2,808,235,0.7,7,form,high
1,240,74,0.923,21,receipt,low
1,498,41,0.99,9,prescription,medium
1,397,261,0.82,22,form,medium
1,278,11,0.689,20,id_card,medium
1,248,2,0.658,16,generic_photo,medium
1,355,35,0.99,17,id_card,low
1,406,193,0.62,12,form,high
2,830,166,0.908,4,form,medium
1,427,84,0.929,1,receipt,low
1,370,55,0.99,23,prescription,medium
1,248,30,0.787,11,id_card,low
1,258,38,0.944,6,receipt,low
1,282,59,0.815,20,receipt,low
1,428,3,0.807,19,generic_photo,low
1,190,22,0.433,15,prescription,high
1,252,25,0.861,3,id_card,low
1,344,34,0.812,14,receipt,low
1,338,17,0.958,23,id_card,low
1,472,23,0.939,1,receipt,low
1,397,330,0.894,20,invoice,low
1,462,8,0.828,21,generic_photo,low
1,462,4,0.72,2,generic_photo,low
1,452,31,0.72,3,id_card,low
2,776,117,0.99,17,form,medium
1,174,4,0.792,15,generic_photo,low
1,355,28,0.807,14,id_card,low
1,188,3,0.751,15,generic_photo,low
1,390,7,0.695,9,generic_photo,medium
1,311,51,0.634,8,receipt,medium
3,1089,159,0.928,19,invoice,low
3,753,554,0.67,16,invoice,medium
3,600,366,0.923,23,invoice,low
1,245,34,0.828,6,receipt,low
1,150,15,0.8,1,id_card,low
1,222,18,0.963,12,id_card,low
1,489,5,0.977,14,generic_photo,low
1,341,69,0.963,0,prescription,medium
3,747,420,0.933,17,invoice,low
3,681,192,0.952,0,invoice,low
1,338,1,0.866,18,generic_photo,low
1,317,0,0.742,18,generic_photo,low
1,432,79,0.726,15,prescription,high
1,296,2,0.844,11,generic_photo,low
1,238,20,0.793,22,id_card,low
1,462,41,0.746,4,receipt,low
1,263,2,0.858,20,generic_photo,low
1,432,14,0.773,11,id_card,low
2,308,246,0.774,21,invoice,low
1,467,10,0.99,17,id_card,low
3,1038,363,0.87,19,invoice,low
1,228,6,0.845,22,generic_photo,low
1,277,18,0.8,23,generic_photo,low
1,351,82,0.881,8,receipt,low
4,844,367,0.691,5,invoice,medium
1,467,88,0.859,8,receipt,low
1,368,55,0.754,2,prescription,medium
1,494,117,0.854,2,receipt,low
1,223,43,0.752,22,receipt,low
1,379,38,0.902,19,id_card,low
1,297,18,0.99,14,id_card,low
1,458,49,0.99,1,receipt,low
1,283,2,0.947,0,generic_photo,low
1,249,8,0.712,1,generic_photo,low
1,232,79,0.824,21,prescription,medium
2,348,237,0.883,12,form,medium
1,450,192,0.666,3,form,high
1,287,10,0.912,3,id_card,low
1,255,195,0.75,5,invoice,low
2,864,519,0.934,21,invoice,low
1,393,54,0.888,14,receipt,low
1,222,202,0.873,18,form,medium
1,190,122,0.947,7,form,medium
1,260,300,0.733,19,invoice,low
1,218,515,0.733,0,invoice,low
1,487,25,0.625,15,id_card,medium
1,187,101,0.834,12,receipt,low
1,470,2,0.561,22,generic_photo,medium
1,413,23,0.828,8,id_card,low
1,256,20,0.776,6,prescription,medium
4,1324,433,0.8,10,invoice,low
1,379,37,0.99,7,id_card,low
2,372,186,0.802,21,form,medium
1,334,35,0.99,12,id_card,low
2,420,214,0.793,14,form,medium
3,1173,152,0.846,0,invoice,low
1,490,5,0.915,6,generic_photo,low
1,452,22,0.725,19,id_card,low
1,218,12,0.99,20,id_card,low
1,201,77,0.612,23,prescription,high
1,451,460,0.713,9,invoice,low
1,485,58,0.686,0,receipt,medium
1,286,466,0.887,4,invoice,low
1,225,106,0.591,22,receipt,medium
